Length,AA Num,Proportion,Tol,Steps,Repeat
10,7,0.015,5,1,1
10,7,0.016,5,1,1
10,7,0.017,5,1,1
10,7,0.018,5,1,1
10,7,0.019,5,1,1
10,7,0.02,5,1,1
10,7,0.021,5,1,1
10,7,0.022,5,1,1
